,AcresBurned,ArchiveYear,CalFireIncident,Counties,Extinguished,Location,MajorIncident,Started
591,26.0,2016,True,Siskiyou,2016-07-20T09:00:00Z,"Hwy 5 at Bailey Hill, 2 mi southeast of Hilt",False,2016-07-19T14:09:00Z
592,25.0,2016,True,Santa Clara,2016-09-02T06:55:00Z,"Off Oak Glen Ave, 2 miles west of Morgan Hill",False,2016-09-01T14:36:00Z
593,25.0,2016,True,Santa Clara,2016-08-14T19:50:00Z,off Uvas Rd & Watsonville Rd. west of Morgan Hill,False,2016-08-12T16:00:00Z
594,25.0,2016,False,El Dorado,2016-08-07T19:18:00Z,"off of Hwy 50 at Riverton, west of Kyburz",False,2016-08-06T15:00:00Z
595,25.0,2016,True,Lake,2016-07-31T18:50:00Z,"Off Ogulin Rd & Highway 53, Clearlake Oaks",False,2016-07-29T14:55:00Z
596,25.0,2016,True,El Dorado,2016-06-04T15:30:00Z,off Mount Aukum Road & Grizzly Flat Road,True,2016-06-03T12:41:00Z
597,25.0,2016,True,Monterey,2016-05-12T20:45:00Z,"Bryson-Hesperia Rd & Interlake Rd, west of Bradley ",False,2016-05-12T14:13:00Z
598,24.0,2016,True,Shasta,2016-06-12T15:00:00Z,near Keswick Dam Road x Iron Mountain Road N/W of Redding,False,2016-06-11T16:02:00Z
599,23.0,2016,True,Humboldt,2016-08-16T08:45:00Z,"Community of Stafford, 7 miles south of Fortuna",False,2016-08-11T14:57:00Z
600,23.0,2016,True,Siskiyou,2016-07-22T12:00:00Z,"Table Rock Rd & Harry Cash Rd, Montague",False,2016-07-21T20:30:00Z
601,21.0,2016,True,Humboldt,2016-08-19T08:30:00Z,Three Creeks Summit and Bair Rd. 8 miles west of Willow Creek,False,2016-08-12T17:23:00Z
602,20.0,2016,False,San Bernardino,2016-09-04T18:55:00Z,Off I-15 Between Kenwood and Blue Cut in the Cajon Pass,False,2016-09-03T21:51:00Z
603,20.0,2016,True,Lake,2016-08-31T07:05:00Z,"Off Hwy 29 & Mockingbird Lane, Upper Lake",False,2016-08-30T16:54:00Z
604,20.0,2016,True,Ventura,2016-05-13T22:30:00Z,North of Ventura,False,2016-05-12T14:13:00Z
605,19.0,2016,True,Amador,2016-08-31T07:05:00Z,"Off Highway 124 & Willow Creek Rd, 4 miles east of Ione",True,2016-08-30T16:52:00Z
606,15.0,2016,True,Ventura,2016-07-12T10:30:00Z,"off Volcan Mountain, north of Julian",False,2016-07-11T12:58:00Z
607,11.0,2016,True,Tehama,2016-07-26T19:25:00Z,"Off Collier Dr & Humboldt Dr, Rancho Tehama",False,2016-07-25T16:55:00Z
608,11.0,2016,True,Shasta,2016-05-25T20:00:00Z,"off Fiddler Rd and Straight Arrow Rd, 8 miles east of Ono",False,2016-05-25T16:51:00Z
609,10.0,2016,False,Tulare,2016-12-19T13:30:00Z,Jacobson Drainage in the Golden Trout Wilderness,False,2016-10-20T17:00:00Z
